comm_type,comm_group,comm_group_size,msg_size,stage,dst,src,additional,_elapsed_time,algbw,busbw,count
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.241344451904297,20.68,20.68,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.12003199756145477,0.13,0.13,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,5.9442877769470215,21.03,21.03,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.0490241050720215,20.66,20.66,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.050559997558594,20.66,20.66,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.032544136047363,20.72,20.72,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.10662399977445602,0.14,0.14,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.14192008972168,20.81,20.81,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.233535766601562,20.69,20.69,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.20992088317871,20.72,20.72,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.1024319976568222,0.15,0.15,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.009407997131348,20.8,20.8,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.068960189819336,20.6,20.6,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.0763840675354,20.57,20.57,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.0557122230529785,20.64,20.64,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.1279360055923462,0.12,0.12,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.11747169494629,20.84,20.84,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.257343292236328,20.66,20.66,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.256864547729492,20.66,20.66,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.14550399780273438,0.1,0.1,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,5.883039951324463,21.25,21.25,1
